Question,Option A,Option B,Option C,Option D,GT
"Which of the following platforms has MITRE ATT&CK expanded to cover, in addition to Microsoft Windows?",iOS,Android,Linux,Windows Server,C
Which of the following is NOT a key component of MITRE's ATT&CK framework?,Techniques,Sub-techniques,Attack Vectors,Documented adversary usage,C
Which of the following is NOT a model based on the original ATT&CK framework by MITRE?,ATT&CK for Enterprise,PRE-ATT&CK,ATT&CK for Mobile,ATT&CK for Infrastructure,D
"Which tool can be used to create red team plans, develop behavioral analytics, and assess defensive gaps within an organization's enterprise?",FireEye,ATT&CK,McAfee,Palo Alto Networks,B
Which of the following is a recommended approach for determining the effectiveness of a Security Operations Center (SOC)?,Conducting a defensive gap assessment,Utilizing Cyber Threat Intelligence Enrichment,Evaluating SOC Maturity through processes assessment,Relying solely on ATT&CK techniques for attribution,C
Which of the following statements regarding ATT&CK coverage is accurate based on the given text?,Achieving coverage of every single ATT&CK technique is realistic and should be the goal.,ATT&CK primarily serves as a checklist for addressing all potential adversary behaviors.,Not all known adversary behaviors warrant alerting or providing data to an analyst.,Collecting telemetry on every single instance of legitimate tool usage is necessary for effective defense.,C
Which of the following is emphasized in the text as crucial for understanding and determining coverage of cybersecurity techniques?,Reviewing threat intelligence on adversary techniques,Collecting data on ipconfig.exe running,Expecting coverage of 100% of ATT&CK techniques,Conducting red team or adversary emulation tests,A
Which of the following best describes the approach recommended for using the ATT&CK framework for cybersecurity defense?,Strive for 100% coverage of all techniques and sub-techniques in the ATT&CK Matrix.,Focus solely on gathering threat intelligence without implementing defenses.,"Implement defenses based on threat intelligence, test for coverage gaps, and continuously improve defenses over time.","Fill out a checklist of security measures and consider the job ""done.""",C
Which of the following techniques is a part of the Persistence Tactic in the ATT&CK framework?,Requirements Gathering,Account Manipulation,Data Exfiltration,Network Intrusion,B
Which element of the MITRE ATT&CK framework defines the adversary's tactical objectives and serves as contextual categories for individual techniques?,"365, Azure AD","Mobile Android, iOS",Tactics,Techniques and Sub-Techniques,C
"Which of the following best describes the relationship between techniques, sub-techniques, and procedures in the context of cybersecurity?","Techniques are more specific breakdowns of sub-techniques, which are then implemented through procedures.",Procedures are specific implementations of techniques or sub-techniques used by adversaries.,Sub-techniques represent observed in-the-wild use of techniques in cybersecurity.,"Procedures are documented in the ""Procedure Examples"" section of the Enterprise ATT&CK model.",B
Which data item in the ATT&CK Technique and Sub-Technique Model is used to describe the name of the (sub-)technique?,ID,Permissions,Name,Platform,C
"Which attribute denotes the level of permissions the adversary will attain by performing a (sub-)technique, specifically under the privilege escalation tactic?",Effective Permissions,Data Source,Supports Remote,Defense Bypassed,A
Which of the following fields describes the group or software entity with a brief description of how a technique is used?,Detection Field,Mitigation Field,Relationship Field,Procedure Field,D
Which of the following goals were NOT mentioned as benefits of adding sub-techniques to the ATT&CK framework?,Make the abstraction level of techniques similar across the knowledge base,Reduce the number of techniques to a manageable level,Allow sub-techniques to have multiple relationships with parent techniques,Provide a structure for easily adding sub-techniques without frequent changes to techniques,C
Which of the following statements is true regarding sub-techniques in cybersecurity?,Sub-techniques must fall under all tactics that a technique is in.,Sub-techniques are always platform-specific.,Sub-techniques may contribute to multiple tactics of a technique but are not required to fulfill every parent technique's tactic.,Sub-techniques are not necessary for providing detailed information on how techniques can be used.,C
Which of the following statements regarding the relationship between techniques and sub-techniques in the context of threat intelligence mapping is correct?,Groups and software procedure examples are inherited between techniques and sub-techniques.,Mitigation information will have a downwards inheritance to the technique from sub-techniques.,"If threat intel information is specific enough to assign it to a sub-technique, it becomes a procedure example only for the sub-technique.",Ambiguous information is always mapped to the technique level to avoid redundancy.,C
Which of the following fields in threat intelligence profiling includes a list of non-MITRE contributors who have contributed information on a specific group profile?,Version Field,Contributor Tag,Description Field,Associated Group Field,B
Which of the following is an example of legitimate software used by adversaries for malicious purposes?,PsExec,Microsoft Office,VLC Media Player,Adobe Photoshop,A
Which of the following best describes the purpose of mitigations in the context of cybersecurity?,Mitigations represent specific vendor products that can prevent cybersecurity attacks.,Mitigations are security concepts and classes of technologies that can prevent specific techniques from being successfully executed.,Mitigations are software tools that can be used to detect cybersecurity vulnerabilities.,Mitigations are free text fields used to describe specific cybersecurity incidents.,B
Which of the following is a key aspect of versioning in the ATT&CK framework?,Versions will increment continuously for each change made to a technique,Versions are used to track changes in the knowledge base and matrix view,"Versions are not used for sub-techniques and mitigations, only for techniques",Versions are updated only during scheduled content releases,D
Which of the following is considered a major version change for Techniques and Sub-Techniques in the ATT&CK framework?,Descriptive information changes,Scope changes,Procedure examples updates,Metadata changes,B
Which of the following best describes the concept of deprecated objects in the context of the ATT&CK knowledge base?,Deprecated objects are completely removed from the knowledge base.,Deprecated objects are still maintained in the knowledge base but are no longer visible in the navigation bar.,Deprecated objects are moved to a separate repository for historical reference.,Deprecated objects are marked with a warning sign but remain accessible in the navigation bar.,B
Which of the following best describes the perspective maintained by MITRE ATT&CK in its cybersecurity model?,Defender's perspective,Neutral perspective,Adversary's perspective,Risk management perspective,C
Which of the following is NOT a potential source of information for MITRE ATT&CK techniques?,Threat intelligence reports,Conference presentations,E-commerce websites,Malware samples,C
Which of the following groups are considered as defenders in the context of cybersecurity based on the given text?,Red teamers,Adversary groups,"Threat hunters, malware analysts, incident responders",Software developers,C
"Which of the following is necessary to tie together various components such as exploit databases, malware databases, and behavior-based techniques for cybersecurity defense?",Exploits and malicious software,Mid-level adversary model like ATT&CK,Vulnerability scans and rapid patching,Threat intelligence and incident data,B
Which of the following best describes what the ATT&CK technique abstraction provides?,A common taxonomy of adversary's physical appearance and location,A list of adversary's favorite tactics and techniques,A common taxonomy of individual adversary actions and goals understood by both offense and defense,A list of software vulnerabilities used by adversaries,C
What was the main reason behind adding the Impact tactic to the ATT&CK framework?,To cover attacks focused on breaching the confidentiality of information,To address the lack of coverage on disruptive and destructive attacks against information or systems,To enhance the coverage of techniques involving data collection and exfiltration,To expand the framework's focus on attacks aimed at financial gain.,B
"Which factor is indicated by the ""Impact Type"" tag in the ATT&CK framework for each technique and sub-technique?",Availability  ,Confidentiality  ,Integrity  ,Authentication  ,C
Which term describes a specific way to perform Signed Binary Proxy Execution?,Exploit Public-Facing Application,Process Injection,Rundll32,Credential Dumping,C
"Which of the following is an example of a sub-technique that spans across Windows, Linux, and Mac systems for hiding artifacts on a system?",Rundll32  ,Hidden Files and Directories  ,Technical References  ,Adversary Use  ,B
Which category of empirical use information includes behaviors that are likely being used but are not being reported for some reason?,Reported,"Reported, non-public",Underreported,Unreported,C
"When considering the creation of new techniques in ATT&CK, what should be assessed to determine the approach to include them?",Who developed the new technique?,What are the mitigation options available for the technique?,What tactic does the behavior fall under?,How many components are needed for the technique?,C
Which factor should be considered when determining whether a new behavior should be included in an existing cybersecurity technique or treated separately?,Different detection methods compared to existing techniques,Similar data sources for creating analytics as existing techniques,Different mitigation methods compared to existing techniques,Conceptually grouping the technique with others versus treating it separately,D
Which of the following criteria is NOT considered when evaluating the reliability of threat intelligence sources within the ATT&CK framework?,Internal and external consistency,Past reliability of the source,Presence of spelling or grammatical errors,Corroboration by other sources,C
Which of the following is an important consideration when analyzing Command and Control traffic over non-standard ports according to the text?,Always assume the traffic is over port 80 unless explicitly stated,Adversaries never use non-standard ports for Command and Control traffic,Analysts should not assume a technique was used if it is not explicitly stated,Non-standard ports are commonly used for benign traffic,C
Which of the following best describes Process Injection?,Process Injection is a technique used to prevent adversaries from accessing user rights or permissions.,"Process Injection is a class of behavior that describes how an adversary can hide their code execution by using an existing benign, running process.",Process Injection is a technique solely applicable to Linux systems to enhance security measures.,Process Injection is a defense mechanism used to analyze process trees and prevent malicious activities.,B
Which of the following is true about process injection?,It cannot be mitigated due to its benign usefulness in software.,All process injection variations require loading DLLs from disk.,Adversary groups do not use process injection as a technique.,Process injection involves loading malicious code within an existing live process.,D
Which of the following best describes SQL Injection (SQLi)?,It is a method of injecting code through a properly secured web interface.,It is a benign behavior exploited by adversaries to achieve lateral movement within an enterprise.,It is a vulnerability that occurs frequently across many different types of web applications.,It is always performed manually and not automated by software.,C
Which of the following methods can be used to detect SQL injection (SQLi) attacks on a web server?,Internal netflow monitoring,Social engineering techniques,Email filtering,Physical access control,A
Which of the following is NOT a valid application of the MITRE ATT&CK methodology?,Building automation control systems,Misinformation and influence campaigns,Mobile technology domains,Cloud technology domains,A
Which of the following disciplines is NOT mentioned as adopting the use of ATT&CK methodology?,Intrusion detection,Threat hunting,Software development,Threat intelligence,C
Which organization is known for creating the MITRE ATT&CK framework for cybersecurity?,FIRST,The MITRE Corporation,Common Weakness Enumeration,Active Response,B
Which of the following MITRE ATT&CK techniques involves an attacker dumping credentials from compromised systems?,T1085 - Rundll32  ,T1055 - Process Injection  ,T1003 - Credential Dumping  ,T1190 - Exploit Public-Facing Application  ,C
Which fundamental right is protected in the General Data Protection Regulation (GDPR)?,Right to freedom of speech  ,Right to bear arms  ,Right to the protection of personal data  ,Right to religious freedom  ,C
Which directive is mentioned in the text regarding the protection of individuals with regard to the processing of personal data?,Directive 2004/39/EC,Directive 95/46/EC,Directive 2009/101/EC,Directive 2011/65/EU,B
Which of the following statements best reflects the importance of data protection regulations in the European Union based on the provided text?,Data protection regulations are not necessary due to the advancements in technology.,Natural persons should have control over their personal data to ensure trust in the digital economy.,Companies and public authorities should have unrestricted access to personal data for economic growth.,Fragmentation in data protection regulations across the Union enhances competition among businesses.,B
Which of the following statements is true regarding the processing of personal data in the European Union?,Member States are allowed to have varying levels of data protection for natural persons.,National provisions should not be introduced to further specify the application of data protection rules.,The processing of special categories of personal data is not regulated by the GDPR.,Consistent and homogeneous application of data protection rules should be ensured throughout the Union.,D
Which EU institution is mandated to lay down rules relating to the protection of personal data and the free movement of personal data?,European Commission,European Parliament and Council,European Court of Justice,European Data Protection Board,B
Which of the following statements is true according to the text provided?,The Regulation applies only to individuals of a specific nationality.,The Regulation covers the processing of personal data concerning legal persons.,The protection of natural persons depends on the techniques used for data processing.,The Regulation applies to the processing of personal data related to national security.,B
Which of the following activities is exempt from the provisions of the Regulation mentioned in the text?,Processing of personal data by a business entity,Processing of personal data by a natural person for commercial purposes,Processing of personal data by a natural person in the course of a personal or household activity,Processing of personal data by a government agency,C
Which of the following is a purpose for which the processing of personal data may fall within the scope of the Regulation mentioned in the text?,Prevention of cyberbullying,Safeguarding against and prevention of threats to public security,Promotion of online marketing campaigns,Conducting market research,B
Which of the following statements is true regarding the processing of personal data by courts in their judicial capacity according to the text provided?,Courts are exempt from any supervision regarding their processing of personal data.,Specific bodies within the judicial system of the Member State should ensure compliance with data protection rules.,Courts must report all data processing operations to supervisory authorities.,The processing of personal data by courts is not subject to any regulations.,B
Which of the following factors is NOT considered sufficient to determine if a controller or processor outside the EU is subject to the GDPR when processing personal data of data subjects in the Union?,Accessibility of the controller's website in the Union,Use of a language generally used in the third country where the controller is established,Mentioning of customers or users who are in the Union,Mentioning of customers or users who are in a third country,D
"According to the text, which of the following is considered when determining whether a natural person is identifiable for data protection purposes?",The color of their eyes,The weather on the day of data collection,The costs and time required for identification,The technology available at the time of processing,C
Which of the following statements about pseudonymisation is true based on the text provided?,Pseudonymisation is not intended to reduce risks to data subjects.,Pseudonymisation may be applied without taking any additional data protection measures.,Pseudonymisation should allow for general analysis while keeping additional information to attribute personal data separately.,Pseudonymisation is mandatory for all types of data processing.,C
Which of the following statements regarding consent for data processing is true according to the text provided?,Consent can be implied through silence or inactivity.,Consent must cover only one processing activity for a specific purpose.,Consent for data processing should be given by a clear affirmative act.,Consent is not required for processing activities carried out for different purposes.,C
Which of the following best defines genetic data according to the text provided?,Personal data related to a person's lifestyle choices,Data collected during the registration for health care services,Data revealing inherited or acquired genetic characteristics from biological samples,Information on a person's past financial transactions,C
"Which of the following is NOT considered a determining criterion for the main establishment of a data controller in the European Union, as per the text provided?",Presence and use of technical means and technologies for processing personal data,Effective exercise of management activities determining the main decisions on processing,Location where the processing activities take place,Central administration in the Union,A
Which of the following statements is true regarding the processing of personal data in a group of undertakings?,The controlling undertaking has no influence over the other undertakings,Children do not require any specific protection for their personal data,Transparency is not required when collecting personal data,An undertaking controlling the processing of personal data in affiliated undertakings forms a group of undertakings,D
Which of the following is NOT a principle highlighted in the text regarding the processing of personal data?,Data minimization,Consent of the data subject,Unlimited storage duration,Security and confidentiality,C
Which of the following statements is true regarding consent as a legal basis for data processing under the European Union regulations?,Consent must be obtained through a pre-formulated declaration provided by the controller in complex language.,Consent is considered freely given even if there is a clear imbalance between the data subject and the controller.,"Consent should be informed, requiring the data subject to be aware of the controller's identity and purposes of data processing.",Consent is not required if the processing operation is based on a legislative act adopted by a parliament.,C
Which of the following scenarios justifies the processing of personal data according to the text provided?,Personal data processing is solely based on individual consent,Processing is carried out in accordance with a legal obligation or for public interest purposes,Processing is done without any legal basis,Processing is dependent on consent that is not necessary for performance,B
Which of the following can provide a legal basis for processing personal data according to the text?,Professional association,Humanitarian purposes,Legitimate interests of a controller,Monitoring epidemics,C
Which of the following scenarios constitutes a legitimate interest of a data controller for processing personal data?,Processing personal data for direct marketing purposes,Processing personal data within a group of undertakings for internal administrative purposes,Processing personal data for preventing fraud,Processing personal data for the legal basis of public authorities,B
Which of the following is a key consideration when determining the compatibility of further processing of personal data according to the text?,The color of the computer system,The weight of the electronic communication systems,The reasonable expectations of data subjects,The shape of the malicious code distribution,C
Which of the following statements regarding the processing of personal data is true?,The controller can further process personal data without considering the compatibility of purposes.,"The controller must inform the data subject about other purposes and their rights, including the right to object.",The processing of photographs is always considered as processing of special categories of personal data.,"The transmission of personal data to a competent authority is prohibited, even if it is in the legitimate interest of the controller.",B
Which of the following scenarios allows for the processing of special categories of personal data under the General Data Protection Regulation (GDPR)?,When the data subject is a member of a sports club,When the data subject gives explicit consent for processing,When the data is processed for marketing purposes,When the data is used for academic research,B
Which of the following is a legitimate reason for processing special categories of personal data concerning health under the GDPR?,Marketing purposes,Quality control of health services,Selling data to third parties,Entertainment purposes,B
Which of the following statements regarding the processing of personal data for reasons of public interest is NOT true?,Processing of special categories of personal data may be necessary for reasons of public interest in the areas of public health without consent of the data subject.,Processing of data concerning health for reasons of public interest should result in personal data being processed for other purposes by third parties.,The processing of personal data by official authorities for the purpose of achieving the aims of officially recognised religious associations is carried out on grounds of public interest.,Political parties may compile personal data on people's political opinions for reasons of public interest if appropriate safeguards are established.,B
"Which principle of the GDPR requires that information addressed to the public or data subjects be concise, easily accessible, and easy to understand, using clear and plain language?",Principle of Accountability,Principle of Transparency,Principle of Data Minimization,Principle of Purpose Limitation,B
Which of the following is a requirement under the principles of fair and transparent processing of personal data as outlined in the text?,Informing the data subject of the existence of the processing operation and its purposes,Obtaining consent from the data subject before any processing takes place,Sharing personal data with third parties without informing the data subject,Deleting all personal data collected after a certain period of time,A
Which of the following scenarios does NOT exempt an organization from the obligation to provide information to a data subject under GDPR?,The data subject already possesses the information,The recording or disclosure of personal data is required by law,Providing information to the data subject is impossible or involves disproportionate effort,The data subject does not request access to their personal data,D
Which of the following statements is true regarding data subject rights under the EU General Data Protection Regulation (GDPR)?,The controller should retain personal data indefinitely to be able to react to potential requests.,A data subject has no right to request access to his or her personal data.,A data subject has the right to have personal data erased if it is no longer necessary for the purposes it was collected.,The controller is not required to verify the identity of a data subject who requests access.,C
Which of the following is a method to restrict the processing of personal data in compliance with data protection regulations?,Deleting all personal data permanently,Moving the selected data to another processing system temporarily,Making all personal data available to users,Ignoring the data subject's request,B
Which of the following is true regarding the data subject's right to data portability under the GDPR?,The right to data portability applies only if the processing is based on consent.,The right to data portability does not apply if the processing is necessary for compliance with a legal obligation.,The right to data portability obligates controllers to adopt or maintain compatible processing systems.,The right to data portability may imply the erasure of personal data provided for contract performance.,B
"Which of the following rights allows a data subject to object to the processing of personal data relating to their particular situation, even if it is being processed for legitimate interests or public tasks?",Right to erasure,Right to data portability,Right to object,Right to access,C
Which of the following is a suitable safeguard for data processing involving profiling according to Union or Member State law?,Obtaining explicit consent from the data subject  ,Conducting monitoring for fraud and tax evasion  ,Implementing mathematical or statistical procedures for profiling  ,Allowing processing without any safeguards  ,A
"Which entity is empowered to issue guidance on the rules governing the processing of personal data, including profiling, as per the text?",European Parliament,European Data Protection Board,European Commission,European Central Bank,B
Which of the following is NOT a potential risk to the rights and freedoms of natural persons as outlined in the text?,Identity theft or fraud,Discrimination,Unauthorized reversal of pseudonymisation,Secure data transmission,D
Which of the following is a key consideration for determining the risk to the rights and freedoms of data subjects in data processing operations according to the text?,The number of data processing operations,The speed of data processing operations,"The nature, scope, context, and purposes of the processing",The size of the data processing company,C
Which principle emphasizes considering data protection from the initial stages of product development?,Principle of Least Privilege,Principle of Data Minimization,Principle of Data Protection by Design,Principle of Encryption,C
Which of the following statements about the role of a representative under the GDPR is true?,The representative should not be explicitly designated by a written mandate.,The designation of a representative relieves the controller or processor from responsibility under the GDPR.,The designated representative must cooperate with supervisory authorities to ensure compliance with the GDPR.,The representative is not subject to enforcement proceedings in case of non-compliance by the controller or processor.,C
Which of the following measures should a controller or processor implement to mitigate security risks associated with data processing?,Regularly delete all personal data to reduce the risk of unauthorized access,Encrypt sensitive personal data to ensure confidentiality and security,Share all personal data with third-party vendors for additional protection,Store personal data in unencrypted databases for easier access,B
Which of the following statements is true regarding data protection impact assessments under the GDPR?,Data protection impact assessments are optional and not mandatory.,Controllers are not responsible for carrying out data protection impact assessments.,"If a data protection impact assessment indicates high risk that cannot be mitigated, consultation with the supervisory authority is not required.","Controllers should notify the supervisory authority of a personal data breach within 72 hours, unless it can be demonstrated that there is no risk to individuals' rights and freedoms.",D
Which of the following statements regarding personal data breach notification is correct?,Data subjects should be notified only if the breach resulted in financial loss.,The communication to data subjects should be delayed until after the supervisory authority is informed.,Notifications to data subjects should be made promptly to allow them to take necessary precautions.,The format and procedures for breach notification do not need to consider the circumstances of the breach.,C
Which of the following statements is true regarding the notification of personal data breaches based on the text provided?,Directive 95/46/EC required indiscriminate general notification obligations to supervisory authorities.,Effective procedures and mechanisms should focus on all types of processing operations equally.,Data protection impact assessments should be carried out after processing to assess high risks.,"Large-scale processing operations at regional, national, or supranational levels may pose a high risk and require impact assessments prior to processing.",D
What type of data processing operations may require a data protection impact assessment?,Processing personal data for marketing purposes,Processing personal data from patients by an individual physician,Monitoring publicly accessible areas using optic-electronic devices,Processing personal data for internal employee records,C
Which entity should be consulted if a data protection impact assessment indicates a high risk to the rights and freedoms of natural persons that cannot be mitigated by reasonable means in terms of available technologies and costs of implementation?,Data subject,Controller,Processor,Supervisory authority,D
Which of the following individuals should assist a controller or processor to monitor internal compliance with data protection regulations when processing personal data on a large scale or special categories of data?,IT support technician,Data protection officer with expert knowledge,Marketing manager,Human resources manager,B
Which mechanism is encouraged to enhance transparency and compliance with the GDPR?,Certification mechanisms and data protection seals and marks,Data breach notifications,Data encryption standards,User access controls,A
"Which entity may decide that a third country offers an adequate level of data protection, allowing transfers of personal data without further authorization?",The controller,The processor,The Commission,The data subject,C
Which of the following criteria is NOT considered when adopting an adequacy decision for a third country's data protection level?,Specific processing activities,Scope of applicable legal standards,Size of the third country's economy,Guarantees ensuring an adequate level of protection,C
Which of the following statements is true regarding the adequacy decisions outlined in the text?,The periodic review mechanism should not take into account any developments in the third country or international organization.,The Commission should evaluate the functioning of the decisions and report findings to the Committee within a lengthy period.,"If a third country no longer ensures an adequate level of data protection, the transfer of personal data to that country should be allowed without any restrictions.",The Commission should inform the third country or international organization of the reasons for inadequacy and enter into consultations to remedy the situation.,D
Which of the following is considered an appropriate safeguard for ensuring compliance with data protection requirements and the rights of data subjects?,Binding corporate rules  ,Social media posts  ,Password sharing  ,Public Wi-Fi networks  ,A
Which of the following statements regarding international data transfers is true according to the text provided?,Controllers and processors are prohibited from adding any additional clauses or safeguards to standard contractual clauses.,Approved binding corporate rules can only be used for international transfers within the same group of undertakings.,Transfers based on explicit consent of the data subject can only occur in judicial procedures.,Transfers from a register intended for consultation by persons with legitimate interest should involve the entirety of the personal data.,B
Which of the following is considered a lawful reason for transferring personal data to a third country without the data subject's consent?,International humanitarian law,Protection of financial interests,Sharing data for marketing purposes,Transferring data for commercial gain,A
Which of the following considerations should a controller give particular attention to when assessing data transfers?,The brand reputation of the company,The number of employees in the organization,The nature of the personal data and purpose of processing,The color scheme of the company logo,C
Which of the following is a reason for promoting closer cooperation among data protection supervisory authorities?  ,To increase data transfer to third countries  ,To hinder cross-border investigations  ,To enhance international mutual assistance  ,To impose resource constraints  ,C
Which of the following statements is true regarding supervisory authorities in the context of cybersecurity?,Supervisory authorities should not be subject to any control or monitoring mechanisms.,Member States should not establish more than one supervisory authority.,Each supervisory authority should be provided with necessary resources for effective performance.,The financial and human resources for supervisory authorities should not be separate.,C
Which of the following statements about supervisory authorities in the context of data protection regulations is true?,Supervisory authorities should not have their own staff and must rely on external consultants.,Each supervisory authority should only be competent within the territory of another Member State.,Supervisory authorities should cooperate with each other and with the Commission without any formal agreement between Member States.,"The supervisory authority staff should report directly to the controller or processor, bypassing the supervisory authority.",C
Which supervisory authority should act as the lead authority when processing activities substantially affect data subjects in multiple Member States?,The supervisory authority of the data subject's country of residence,Any supervisory authority in the European Union,The supervisory authority for the main establishment of the controller or processor,The supervisory authority with the most resources,C
Which authority is responsible for ensuring compliance with the General Data Protection Regulation (GDPR) and implementing decisions for processing activities in the European Union?,Lead supervisory authority  ,Data subject  ,Processor  ,Controller  ,A
Which supervisory authority should take utmost account of a submitted draft decision in the one-stop-shop mechanism according to the text? ,The supervisory authority of the Member State where the public authority is established  ,The lead supervisory authority  ,The supervisory authority of the Member State where the private body is established  ,The supervisory authority with the most complaints from natural persons  ,B
What specific requirement in Member State procedural law must be met before exercising investigatory powers as regards access to premises by the supervisory authority?,Obtaining a written authorization from the data subject,Obtaining a prior judicial authorization,Seeking approval from a government agency,Notifying the media for transparency,B
Which of the following is NOT a responsibility of supervisory authorities under the GDPR?,Seeking an amicable settlement with controllers,Providing awareness-raising activities to data subjects,Assisting each other in performing tasks and providing mutual assistance,Participating in joint operations with other supervisory authorities,B
Which body is empowered to adopt legally binding decisions in cases of disputes between supervisory authorities in the European Union regarding the application of the General Data Protection Regulation?,European Commission,Data Protection Authority,Data Protection Officer,European Data Protection Board,D
Which body is set up as an independent body of the Union to promote the consistent application of the Regulation?,The Working Party on the Protection of Individuals,The European Data Protection Supervisor,The Commission,The Board,D
Which of the following rights allows a data subject to mandate a not-for-profit body to lodge a complaint on their behalf with a supervisory authority according to the GDPR?,Right to erasure,Right to data portability,Right to restriction of processing,Right to lodge a complaint,D
Which of the following statements is true regarding the right to bring an action for annulment of decisions of the Board under the General Data Protection Regulation (GDPR)?,Any natural or legal person can bring an action for annulment of decisions of the Board with no time limit.,Only the data subject can challenge decisions of the Board before the Court of Justice.,Supervisory authorities have unlimited time to challenge decisions of the Board.,Natural or legal persons should bring an action for annulment against decisions of the Board within two months,D
Which entity must be contacted by a court if it suspects related proceedings are ongoing in another Member State?,Board of Supervisors,Court of Justice,Competent authority,Court in the other Member State,D
Which statement accurately describes the liability of a controller or processor for data processing under the European Union's General Data Protection Regulation (GDPR)?,The controller or processor is always exempt from liability for any damages caused by processing activities.,"The controller or processor should compensate any damage resulting from processing that infringes the GDPR, unless they can prove they are not responsible for the damage.",The controller or processor is only liable for damages if the data subject resides in a different Member State.,The controller or processor cannot be held liable for damages under any circumstances.,B
Which of the following statements is true regarding penalties for infringement of data protection regulations?,Penalties are only imposed on data subjects who suffered damages.,A reprimand may be issued instead of a fine for minor infringements.,Controllers or processors cannot seek recourse against others involved in the same processing.,Penalties are determined solely based on the duration of the infringement.,B
Which authority should have the power to impose administrative fines for infringements of cybersecurity regulations?,National governments,Courts of Justice,Supervisory authorities,Law enforcement agencies,C
Which of the following statements regarding administrative fines under the GDPR is true?,Denmark and Estonia do not allow for administrative fines as outlined in the Regulation.,Administrative fines must always be imposed by supervisory authorities according to the Regulation.,Member States have no discretion in determining the application of administrative fines.,"Fines imposed under the GDPR should be effective, proportionate, and dissuasive.",A
Which fundamental rights are being balanced in the context of personal data processing according to the text?,Right to privacy and right to property,Right to freedom of expression and right to freedom of assembly,Right to freedom of expression and right to protection of personal data,Right to education and right to healthcare,C
Which directive is referenced in the text regarding the re-use of public sector information in the European Union?,Directive 2000/88/EC,Directive 2003/98/EC,Directive 2010/42/EU,Directive 2006/25/EC,B
"What is a key safeguard that should be in place when processing personal data for archiving purposes in the public interest, scientific or historical research purposes, or statistical purposes?",Encryption of all personal data,Regular data backups,Data minimisation measures,Open access to all processed data,C
Which of the following statements about processing personal data for archiving purposes is true according to the text?,This Regulation does not apply to deceased persons.,Public authorities do not have any legal obligations regarding the processing of personal data for archiving purposes.,Member States are not authorized to further process personal data for archiving purposes.,Processing personal data for archiving purposes is not subject to any conditions or safeguards.,A
Which of the following is considered a valid purpose for processing personal data under the GDPR?,Technological development and demonstration,Marketing and advertising purposes,Gaming and entertainment,Personal data trading,A
Which regulation provides specifications on statistical confidentiality for European statistics?,Regulation (EU) 2016/679,Regulation (EC) No 223/2009,Regulation (EU) 2018/1725,Regulation (EU) 2019/452,B
Which regulation emphasizes the importance of protecting personal data and ensuring free movement within the European Union?,Regulation (EU) No 536/2014 on clinical trials on medicinal products,Regulation (EC) No 223/2009 on European statistics,Council Regulation (EC) No 322/97 on Community Statistics,Regulation (EU) No 182/2011 on implementing powers,A
"Which of the following is NOT considered for specific measures for micro, small, and medium-sized enterprises according to the text?",Codes of conduct,Technical standards and mechanisms for certification,Standard protection clauses,Exchange of information by paper mail,D
Which directive should be reviewed to ensure consistency with the Regulation mentioned in the text?,Directive 2001/24/EC,Directive 2003/19/EC,Directive 2002/58/EC,Directive 2004/12/EC,C
Which of the following activities are exempt from the scope of the Regulation mentioned in the text?,Processing of personal data by a natural person for business purposes,Processing of personal data by competent authorities for preventing criminal activities,Processing of personal data by Union institutions in accordance with Regulation (EC) No 45/2001,Processing of personal data by Member States in activities falling within Chapter 2 of Title V of the TEU,A
Which of the following scenarios does the General Data Protection Regulation (GDPR) apply to for processing personal data of data subjects in the European Union?,Offering goods or services to data subjects in the Union with no requirement of payment,Monitoring the behavior of data subjects within the Union,Processing personal data in a non-Member State where Member State law applies under public international law,All of the above,D
Which term refers to the process of processing personal data in a way that it can no longer be attributed to a specific individual without additional information?,Encryption,Pseudonymisation,Anonymization,Decryption,B
Which of the following is NOT considered personal data under the General Data Protection Regulation (GDPR)?,Genetic data,Biometric data,Data concerning health,Information about a company's main establishment,D
"Which of the following best defines the term ""representative"" in the context of the General Data Protection Regulation (GDPR)?",A person designated by a supervisory authority,A person responsible for data processing activities,A person who represents the controller or processor with regard to GDPR obligations,A person who establishes binding corporate rules for data protection,C
Which of the following is a principle relating to the processing of personal data according to the text provided?,Data encryption and decryption,Data storage in multiple formats,"Processing personal data lawfully, fairly, and transparently",Unlimited sharing of personal data,C
"Which principle of data protection requires personal data to be kept in a form that permits identification of data subjects for no longer than necessary for the processing purposes, except for archiving purposes in the public interest, scientific or historical research, or statistical purposes?",Purpose limitation,Data minimisation,Accuracy,Storage limitation,D
